"activity_at_age_19_appprenticeships","rgn11nm","university_flag"
13.1147540983607,"Yorkshire and The Humber","No university"
14.792899408284,"Yorkshire and The Humber","No university"
NA,"South East","No university"
7.14285714285714,"South East","University"
NA,"South East","No university"
15.8730158730159,"East of England","No university"
9.87202925045704,"South East","No university"
NA,"North East","No university"
17.6470588235294,"South West","No university"
10.25,"East of England","No university"
17.3758865248227,"North West","No university"
NA,"East Midlands","No university"
16.3934426229508,"Yorkshire and The Humber","No university"
10.6164383561644,"Yorkshire and The Humber","No university"
13.5048231511254,"North West","No university"
16.793893129771,"Yorkshire and The Humber","No university"
10.720887245841,"South East","No university"
NA,"South East","No university"
NA,"North West","No university"
16.9491525423729,"North West","No university"
10.3038309114927,"North West","No university"
8.8,"East of England","No university"
12.6373626373626,"South West","University"
16.3522012578616,"East Midlands","No university"
15.1351351351351,"Yorkshire and The Humber","No university"
8.62619808306709,"North West","No university"
12.3853211009174,"North West","No university"
10.9004739336493,"South West","No university"
11.8357487922705,"East Midlands","No university"
14.1104294478528,"East Midlands","No university"
NA,"West Midlands","No university"
10.8658743633277,"South West","No university"
12.0287253141831,"North West","No university"
14.4444444444444,"East Midlands","No university"
10.8333333333333,"East Midlands","No university"
12.6582278481013,"East of England","No university"
12.273276904474,"South West","University"
NA,"North West","No university"
NA,"Yorkshire and The Humber","No university"
12.7478753541076,"East Midlands","No university"
20.8333333333333,"North West","No university"
18.1208053691275,"North West","No university"
12.5230202578269,"South East","No university"
12,"South East","No university"
NA,"South West","No university"
15.506329113924,"West Midlands","No university"
9.73630831643002,"South West","No university"
13.8525564803805,"North West","No university"
11.7206982543641,"North West","No university"
11.1340206185567,"East of England","No university"
14.6179401993355,"North East","No university"
18.8405797101449,"East Midlands","No university"
16.8269230769231,"East Midlands","No university"
NA,"East of England","No university"
11.0091743119266,"South East","No university"
9.83606557377049,"East of England","No university"
9.82142857142857,"East of England","No university"
19.6629213483146,"East Midlands","No university"
16.4893617021277,"South East","No university"
11.1111111111111,"South West","No university"
15.3846153846154,"West Midlands","No university"
6.69856459330144,"East of England","No university"
14.0350877192982,"North West","No university"
16.8797953964194,"North West","No university"
8.61244019138756,"East of England","No university"
NA,"South West","No university"
6.64206642066421,"East of England","No university"
5.95744680851064,"East Midlands","No university"
12.8640776699029,"South East","No university"
6.66666666666667,"East of England","No university"
10.8695652173913,"Yorkshire and The Humber","No university"
14.5867098865478,"West Midlands","No university"
12.6126126126126,"South West","No university"
NA,"West Midlands","No university"
10.6719367588933,"South East","No university"
19.6078431372549,"North West","No university"
25.8620689655172,"Yorkshire and The Humber","No university"
7.96019900497512,"South West","No university"
12.0091064314172,"Yorkshire and The Humber","University"
10.7692307692308,"North West","No university"
17.1597633136095,"North West","No university"
16.4619164619165,"East Midlands","No university"
NA,"North West","No university"
13.1907308377897,"West Midlands","No university"
8.68347338935574,"Yorkshire and The Humber","No university"
12.2950819672131,"North West","No university"
16.5467625899281,"North West","No university"
12.9593810444874,"Yorkshire and The Humber","No university"
16.1538461538462,"North West","No university"
8.9272030651341,"East of England","University"
15.1162790697674,"Yorkshire and The Humber","No university"
NA,"East Midlands","No university"
11.9266055045872,"North West","No university"
15.7894736842105,"South West","No university"
10.5405405405405,"Yorkshire and The Humber","No university"
10.3030303030303,"South East","No university"
17.3913043478261,"South West","No university"
14.903129657228,"North West","No university"
NA,"South East","No university"
10.5263157894737,"South West","No university"
17.1149144254279,"East Midlands","No university"
11.9047619047619,"West Midlands","No university"
14.7727272727273,"Yorkshire and The Humber","No university"
11.614730878187,"North West","No university"
12.0567375886525,"South West","No university"
16.2995594713656,"North West","No university"
15.7635467980296,"North West","No university"
18.5567010309278,"North West","No university"
13.2118451025057,"Yorkshire and The Humber","No university"
9.36967632027257,"South East","No university"
17.2955974842767,"Yorkshire and The Humber","No university"
NA,"South East","No university"
11.6207951070336,"Yorkshire and The Humber","No university"
9.50920245398773,"North West","No university"
12.1621621621622,"South West","No university"
13.0584192439863,"North West","No university"
7.10144927536232,"South East","No university"
8.29875518672199,"South East","No university"
NA,"South East","No university"
12.3778501628664,"South West","No university"
17.1084337349398,"North West","No university"
19.5876288659794,"East Midlands","No university"
11.6071428571429,"North West","No university"
NA,"South West","No university"
14.8936170212766,"North East","No university"
16.7701863354037,"South East","No university"
17.4418604651163,"South West","No university"
15.6626506024096,"Yorkshire and The Humber","No university"
18.6813186813187,"Yorkshire and The Humber","No university"
10.8270676691729,"Yorkshire and The Humber","No university"
NA,"East of England","No university"
22.680412371134,"East Midlands","No university"
13.1970260223048,"South East","No university"
15.8671586715867,"North West","No university"
12.0689655172414,"East of England","No university"
9.31372549019608,"North West","No university"
14.6919431279621,"East Midlands","No university"
NA,"South East","No university"
14.4736842105263,"West Midlands","No university"
15.0793650793651,"South East","No university"
14.1509433962264,"North West","No university"
10.2127659574468,"Yorkshire and The Humber","No university"
17.2307692307692,"South East","No university"
10.2766798418972,"South East","No university"
24.5283018867925,"Yorkshire and The Humber","No university"
NA,"North West","No university"
16.5605095541401,"North East","No university"
